Order ID,Returned
US-2023-100762,Yes
US-2023-100867,Yes
US-2023-102652,Yes
US-2023-103373,Yes
US-2023-103744,Yes
US-2023-103940,Yes
US-2023-104829,Yes
US-2023-105270,Yes
US-2023-108609,Yes
US-2023-108861,Yes
US-2023-109918,Yes
US-2023-110786,Yes
US-2023-111871,Yes
US-2023-116785,Yes
US-2023-123225,Yes
US-2023-123253,Yes
US-2023-123498,Yes
US-2023-124688,Yes
US-2023-126361,Yes
US-2023-126403,Yes
US-2023-126522,Yes
US-2023-127012,Yes
US-2023-127131,Yes
US-2023-133690,Yes
US-2023-134726,Yes
US-2023-135657,Yes
US-2023-135699,Yes
US-2023-140816,Yes
US-2023-141726,Yes
US-2023-142769,Yes
US-2023-143336,Yes
US-2023-143840,Yes
US-2023-148614,Yes
US-2023-148950,Yes
US-2023-151162,Yes
US-2023-152345,Yes
US-2023-153150,Yes
US-2023-156349,Yes
US-2023-157924,Yes
US-2023-159338,Yes
US-2023-160766,Yes
US-2023-160773,Yes
US-2023-164721,Yes
US-2023-164861,Yes
US-2023-166744,Yes
US-2023-169019,Yes
US-2024-101910,Yes
US-2024-103716,Yes
US-2024-104129,Yes
US-2024-105158,Yes
US-2024-107678,Yes
US-2024-109736,Yes
US-2024-110814,Yes
US-2024-111948,Yes
US-2024-112144,Yes
US-2024-113628,Yes
US-2024-114048,Yes
US-2024-116092,Yes
US-2024-119214,Yes
US-2024-119907,Yes
US-2024-123568,Yes
US-2024-124058,Yes
US-2024-130456,Yes
US-2024-130785,Yes
US-2024-132374,Yes
US-2024-132941,Yes
US-2024-134075,Yes
US-2024-134201,Yes
US-2024-135580,Yes
US-2024-138674,Yes
US-2024-139731,Yes
US-2024-140984,Yes
US-2024-141593,Yes
US-2024-142601,Yes
US-2024-143238,Yes
US-2024-143490,Yes
US-2024-143602,Yes
US-2024-144267,Yes
US-2024-146255,Yes
US-2024-146262,Yes
US-2024-146486,Yes
US-2024-148873,Yes
US-2024-149342,Yes
US-2024-149636,Yes
US-2024-149650,Yes
US-2024-150770,Yes
US-2024-150875,Yes
US-2024-151547,Yes
US-2024-153220,Yes
US-2024-154970,Yes
US-2024-155761,Yes
US-2024-156440,Yes
US-2024-157770,Yes
US-2024-157812,Yes
US-2024-161627,Yes
US-2024-162166,Yes
US-2024-164882,Yes
US-2024-168480,Yes
US-2024-168564,Yes
US-2024-169397,Yes
US-2025-104689,Yes
US-2025-105081,Yes
US-2025-105291,Yes
US-2025-105585,Yes
US-2025-106950,Yes
US-2025-109806,Yes
US-2025-109869,Yes
US-2025-111682,Yes
US-2025-112123,Yes
US-2025-112340,Yes
US-2025-113341,Yes
US-2025-114307,Yes
US-2025-114727,Yes
US-2025-115917,Yes
US-2025-116547,Yes
US-2025-116736,Yes
US-2025-118311,Yes
US-2025-118500,Yes
US-2025-118899,Yes
US-2025-120873,Yes
US-2025-123526,Yes
US-2025-124527,Yes
US-2025-126529,Yes
US-2025-126732,Yes
US-2025-128671,Yes
US-2025-130477,Yes
US-2025-130638,Yes
US-2025-130680,Yes
US-2025-133319,Yes
US-2025-133368,Yes
US-2025-133802,Yes
US-2025-134775,Yes
US-2025-134803,Yes
US-2025-136483,Yes
US-2025-136924,Yes
US-2025-138282,Yes
US-2025-139269,Yes
US-2025-142398,Yes
US-2025-145261,Yes
US-2025-145492,Yes
US-2025-145583,Yes
US-2025-145919,Yes
US-2025-145982,Yes
US-2025-147375,Yes
US-2025-148796,Yes
US-2025-150077,Yes
US-2025-151323,Yes
US-2025-151372,Yes
US-2025-152814,Yes
US-2025-157280,Yes
US-2025-159023,Yes
US-2025-159212,Yes
US-2025-159345,Yes
US-2025-161746,Yes
US-2025-162138,Yes
US-2025-162159,Yes
US-2025-165330,Yes
US-2025-166275,Yes
US-2025-167759,Yes
US-2025-168921,Yes
US-2026-100111,Yes
US-2026-101273,Yes
US-2026-101574,Yes
US-2026-101700,Yes
US-2026-101805,Yes
US-2026-102519,Yes
US-2026-103380,Yes
US-2026-107825,Yes
US-2026-108294,Yes
US-2026-108931,Yes
US-2026-109085,Yes
US-2026-111556,Yes
US-2026-112725,Yes
US-2026-112753,Yes
US-2026-112865,Yes
US-2026-113670,Yes
US-2026-115427,Yes
US-2026-115994,Yes
US-2026-117212,Yes
US-2026-117513,Yes
US-2026-117926,Yes
US-2026-118122,Yes
US-2026-118542,Yes
US-2026-119284,Yes
US-2026-121258,Yes
US-2026-121853,Yes
US-2026-122007,Yes
US-2026-122504,Yes
US-2026-123085,Yes
US-2026-123491,Yes
US-2026-124401,Yes
US-2026-127306,Yes
US-2026-128965,Yes
US-2026-129707,Yes
US-2026-130631,Yes
US-2026-131492,Yes
US-2026-131618,Yes
US-2026-131807,Yes
US-2026-131828,Yes
US-2026-132346,Yes
US-2026-134194,Yes
US-2026-135692,Yes
US-2026-136308,Yes
US-2026-136539,Yes
US-2026-136651,Yes
US-2026-137085,Yes
US-2026-137099,Yes
US-2026-137414,Yes
US-2026-137428,Yes
US-2026-138163,Yes
US-2026-140053,Yes
US-2026-140151,Yes
US-2026-140186,Yes
US-2026-140585,Yes
US-2026-140963,Yes
US-2026-141929,Yes
US-2026-142328,Yes
US-2026-142342,Yes
US-2026-142867,Yes
US-2026-142888,Yes
US-2026-143084,Yes
US-2026-144064,Yes
US-2026-145128,Yes
US-2026-145772,Yes
US-2026-147452,Yes
US-2026-150609,Yes
US-2026-150910,Yes
US-2026-152660,Yes
US-2026-153822,Yes
US-2026-154074,Yes
US-2026-154214,Yes
US-2026-154949,Yes
US-2026-155712,Yes
US-2026-156391,Yes
US-2026-156958,Yes
US-2026-157196,Yes
US-2026-158729,Yes
US-2026-159954,Yes
US-2026-161459,Yes
US-2026-161557,Yes
US-2026-161956,Yes
US-2026-162015,Yes
US-2026-165008,Yes
US-2026-165491,Yes
US-2026-166093,Yes
US-2026-166142,Yes
US-2026-166898,Yes
US-2026-167003,Yes
US-2026-167395,Yes
US-2026-168193,Yes
US-2026-169327,Yes
US-2026-169859,Yes
US-2026-169894,Yes
US-2023-105137,Yes
